"Id","Make","Fueltype","Numofdoors","Bodystyle","Drivewheels","enginelocation","Wheelbase","Length","Width","Height","Cylinders","Enginesize","Hp","city_mpg","hwy_mpg","price","symboling"
1,"alfa-romero","gas","two","convertible","rwd","front","[-Inf,90)","(158,175]",64.1,48.8,"four",130,111,"[18,22.3)",27,13495,3
2,"alfa-romero","gas","two","convertible","rwd","front","[-Inf,90)","(158,175]",64.1,48.8,"four",130,111,"[18,22.3)",27,16500,3
3,"alfa-romero","gas","two","hatchback","rwd","front","[90,100)","(158,175]",65.5,52.4,"six",152,154,"[18,22.3)",26,16500,1
4,"audi","gas","four","sedan","fwd","front","[90,100)","(175,191]",66.2,54.3,"four",109,102,"[22.3,27.6)",30,13950,2
5,"audi","gas","four","sedan","4wd","front","[90,100)","(175,191]",66.4,54.3,"five",136,115,"[13,18)",22,17450,2
6,"audi","gas","two","sedan","fwd","front","[90,100)","(175,191]",66.3,53.1,"five",136,110,"[18,22.3)",25,15250,2
7,"audi","gas","four","sedan","fwd","front","[100,110)","(191,208]",71.4,55.7,"five",136,110,"[18,22.3)",25,17710,1
8,"audi","gas","four","wagon","fwd","front","[100,110)","(191,208]",71.4,55.7,"five",136,110,"[18,22.3)",25,18920,1
9,"audi","gas","four","sedan","fwd","front","[100,110)","(191,208]",71.4,55.9,"five",131,140,"[13,18)",20,23875,1
10,"audi","gas","two","hatchback","4wd","front","[90,100)","(175,191]",67.9,52,"five",131,160,"[13,18)",22,13207.1293532338,0
11,"bmw","gas","two","sedan","rwd","front","[100,110)","(175,191]",64.8,54.3,"four",108,101,"[22.3,27.6)",29,16430,2
12,"bmw","gas","four","sedan","rwd","front","[100,110)","(175,191]",64.8,54.3,"four",108,101,"[22.3,27.6)",29,16925,0
13,"bmw","gas","two","sedan","rwd","front","[100,110)","(175,191]",64.8,54.3,"six",164,121,"[18,22.3)",28,20970,0
14,"bmw","gas","four","sedan","rwd","front","[100,110)","(175,191]",64.8,54.3,"six",164,121,"[18,22.3)",28,21105,0
15,"bmw","gas","four","sedan","rwd","front","[100,110)","(175,191]",66.9,55.7,"six",164,121,"[18,22.3)",25,24565,1
16,"bmw","gas","four","sedan","rwd","front","[100,110)","(175,191]",66.9,55.7,"six",209,182,"[13,18)",22,30760,0
17,"bmw","gas","two","sedan","rwd","front","[100,110)","(191,208]",67.9,53.7,"six",209,182,"[13,18)",22,41315,0
18,"bmw","gas","four","sedan","rwd","front","[110, Inf]","(191,208]",70.9,56.3,"six",209,182,"[13,18)",20,36880,0
19,"chevrolet","gas","two","hatchback","fwd","front","[-Inf,90)","(141,158]",60.3,53.2,"three",61,48,"[42,49]",53,5151,2
